text,label
Force private nurseries to charge REDUCED fees during COVID-19 crisis,unclear
Hunts and shoots should not be exempt from 6 person rule + Covid-19 restrictions,anti-mitigation
Recall WI Governor Tony Evers,unclear
DONIAMO VENTILATORI POLMONARI AGLI OSPEDALI ITALIANI PUBBLICI,pro-mitigation
It now time for temples and religious institutions to donate for COVID relief,pro-mitigation
Prioritize Vaccinating Florida Teachers,pro-mitigation
Postpone graduation!!!!!! DO NOT make it virtual,unclear
Save Newquay Killacourt,unclear
Make COVID-19 Testing Free for Senior Citizens & Subsidised for All #PatientsBeforeProfits,pro-mitigation
Help Georgia Restaurants Survive COVID-19,anti-mitigation
CONTRA LOS DESPIDOS EN ORANGE. ERE NO.,unclear
Change UAlberta Classes from in person to Online due to COVID-19,pro-mitigation
Save Akron's Last Major Greenspace!,unclear
Close Pepperdine due to the Covid-19 Case in California,pro-mitigation
Coronavirus Europe - Let Google Vendor employees to work from home like Google employees,pro-mitigation
Support Safe Schools for Saskatchewan,unclear
Call for the Resignation of Los Angeles Mayor Eric Garcetti for BLM Protest Response,unclear
Review of the constitution of the South African CoVID-19 National Command Council,unclear
COVID Transparency at BYU,pro-mitigation
Appello per la pace in Etiopia,unclear
"Support for NY State Licensed, High-Touch Service Professionals During Covid-19.",pro-mitigation
Remove Dr. Wajid Ahmed from his position as Medical Officer of Health for Windsor/Essex,anti-mitigation
"Justice for Dr. Abhishek Bhayana, youngest frontline covid warrior",pro-mitigation
"COVID-19 Pass/Fail Grading Initiative for FCPS - Frederick, MD",unclear
We want to feel safe on social media platforms,unclear
"Stop Con Edison from potentially spreading Covid-19 to its workers, and the NYC public!",pro-mitigation
Have Online Classes & Close Physical BMCC campus due to Outbreak of COVID-19,pro-mitigation
Ensure Safe Watersports Access to Florida's Waterways during COVID-19 Pandemic,pro-mitigation
Alberta golf courses should receive an exemption from mandated business closures,anti-mitigation
Private schools to charge 50% tuition fees for online classes.,pro-mitigation
Provide financial support for ALL Sole Traders in Victoria,unclear
Smoking Covid,unclear
Stop classes and encourage online classes to reduce spread of COVID-19 in uniten,pro-mitigation
UHC refuses to pay equitably for COVID tests,pro-mitigation
Federal financial relief for restaurant industry — covid-19 pandemic,unclear
An Arts Sector-specific Rescue Package to Survive COVID-19 #HeartsForArts2020,pro-mitigation
Car Dealerships are Non-Essential During COVID-19 and should be be closed!,pro-mitigation
#FreeNeko from Navajo County Jail,unclear
Re-open unused wards of University Hospital of Hartlepool during Covid 19 pandemic,pro-mitigation
Joe Biden's Candidacy is Failing - We Demand a Stronger Nominee. Democrats: Act Now.,unclear
Provide Food and Safe Transport to Stranded Migrants during COVID-19 Lockdown,pro-mitigation
Open Up Private Recreational Motorcycle & ATV Areas In NY,anti-mitigation
Help the St. John’s University bowling team go to sectionals!,unclear
UAH: Extend a Pass/Fail Option Due to COVID-19,pro-mitigation
Maharashtra CM : Make an announcement in Reduction & Deferment of School Fees !,unclear
COVID-19：Request For MPCSD to Close Schools for the Safety of our Community and Children,pro-mitigation
For NHS senior management to protect workers from COVID-19 as a priority,pro-mitigation
#Don'tForgetStudents | #N'OubliezPaslesÉtudiants,unclear
"Rockford, IL Police Chief Daniel G. O’Shea Must Be Fired",unclear
Help change FL mandated clinical requirements for Nursing students in light of COVID-19,pro-mitigation
Demilitarize Walnut Creek Police Response!,unclear
Give NJ Teachers and school staff immediate access to the COVID-19 vaccine,pro-mitigation
We study in online mode we want online Semester examination for every university students,pro-mitigation
SENSELESS IMPRISONMENT FOR MY MOM.. FIRST TIME OFFENDER NON-VIOLENT CRIME,unclear
Stop Allowing Flights with Covid Infected People to Land in Canada,pro-mitigation
Stop Stephanie Alley from Potentially spreading the Coronavirus (CoVid 19 Virus),pro-mitigation
SUPPORT FOR SME WORKING DIRECTORS UNDER JOBS SUPPORT SCHEME (JSS),pro-mitigation
Extend JobKeeper For The Travel Industry Beyond March 28,unclear
Carteret County Surf Now,unclear
"Glasgow Life, Reconsider Library Closures",pro-mitigation
Keep Community Based Adult Services (CBAS) Available in California,anti-mitigation
Close shopping malls  IMMEDIATELY to prevent the spread of COVID-19,pro-mitigation
Remove mandated bulk-billing from COVID-19 telehealth item numbers.,unclear
Take Action to End Canada's Blood Donation Ban,unclear
Pembroke Pines utilities cost increase during COVID-19,unclear
"Give Children and Families Access to Beaches, Parks and Trails in Hawaii",anti-mitigation
Creat isolation hotel centers for COVID-19 self-isolation confirms,pro-mitigation
Rowan University: Universal Pass System,unclear
South Dakota High School Pass or Fail students -COVID-19,unclear
Virginia Covid-19 Mandatory Shelter in Place,pro-mitigation
Urgent Action Needed: Strengthen Ethnic Studies in Stockton Unified School District,unclear
REDUCTION IN SCHOOL FEES DURING COVID-19. Schools to run at no profit no loss till then,unclear
Powerful action against climate change by the governments,unclear
Texas UIL Spring Sports/Competitions to be completed during the Summer of 2020,unclear
Pengurangan uang sekolah selama Home Learning karena dampak ekonomi dari Covid - 19.,unclear
"Let's get back golfing, rowing, playing tennis and picnicking again Ontario.",anti-mitigation
Enforce State and Local COVID-19 Rules in all California State Employee Workplaces,pro-mitigation
"Support and reward healthcare workers, COVID-19",pro-mitigation
Raise Awareness to Defeat COVID-19,pro-mitigation
COVID-19 Small Business economic hardship,unclear
Save Plum Island Coffee Roasters,unclear
SAVE OUR SMALL BUSINESS COMMUNITY!! Allow restaurants to be able to service outdoor dining,anti-mitigation
"No School Re-Opening, Protect Our Children",pro-mitigation
No Mandatory COVID-19 Testing For Ohio Athletics ( OHSAA) & Let Spectators In all Games.,anti-mitigation
Petition for Approval to Provide Illinois Early Intervention Services via Telehealth,pro-mitigation
Lift covid restrictions on Beauty industry!,anti-mitigation
Save my dad from ICE's virus-ridden detention centers,pro-mitigation
Venues should cancel South Padre Island Spring Break events to prevent COVID-19 exposure.,pro-mitigation
Rescind Abbott’s Execute Order GA-13: Biased Bail Restrictions during COVID-19,pro-mitigation
Please help the residents of Guildwood Extendicare during Covid Crisis,unclear
Darden : Financial Relief for COVID-19,pro-mitigation
No mandatory Covid-19 vaccine in Canada,anti-mitigation
Make Swiggy accessible with screen readers in Android for Visually Challenged People,unclear
We want the COVID-19 Language Access Act!,unclear
Let babies travel on their mother's passport into South Africa for Medical Emergencies,pro-mitigation
Extend Winter Break at UBC,unclear
Stop Covid-19 Related Dismissals at Glasgow Colleges,pro-mitigation
Free Jay Regas,unclear
“TAKE  ACTION AGAINST CORRUPTION NOW”,unclear
United Against COVID-19,pro-mitigation
Ask the City of Winston-Salem to support in-street dining for downtown resturants!,anti-mitigation
Stand with Heine Brothers' Baristas during COVID-19 Outbreak: Give them the Choice!,anti-mitigation
ÖZEL OKUL ÖDEMELERİNİNDE İNDİRİM,unclear
Close CCPS schools to limit spread of coronavirus.,pro-mitigation
Suspend Rent & Mortgage in Canada during COVID-19,unclear
Protect our TWU community from COVID-19 by suspending face-to-face classes and meetings.,pro-mitigation
Stop the relocation of a Sexually Violent Predator to Twentynine Palms!,unclear
Procurement of Covid-19 cure from Madagascar by the South African government.,pro-mitigation
APPEAL COVID-19/ BEAUTY INDUSTRY,anti-mitigation
Arrest Mocha Uson for Publishing False News in her Facebook Page,unclear
Change the 2020 Year 12 VCE Exams,unclear
Allow Athletic Therapists to treat their patients,anti-mitigation
ALTERNATIVE GRADUATION OPTION FOR CMS SENIORS,unclear
India needs to change its stance on mental health,unclear
To allow the children of a covid victim to remain in their home.,unclear
"Teachers, Students, and Staff are NOT Expendable",unclear
Bring Thunder Bay District Out Of Lockdown and back into colour code system,anti-mitigation
"""COVID-19 Relief"" for our incarcerated loved ones & DE DOC!",pro-mitigation
Support for Farm Transitions and Sustainable Agricultural Practices,unclear
Save Pine Island Club,unclear
Re-Open Motocross Tracks Responsibly,anti-mitigation
"Allow venues, stadia, and hotels with Covid Controls in place to operate at capacity",pro-mitigation
Allow Golf courses to open in Ontario,anti-mitigation
Housing for Healthcare Workers exposed to COVID-19,pro-mitigation
Reopen The Spotlight Theatre ASAP,anti-mitigation
Close Petsmart Services in response to Covid-19 state of emergency,pro-mitigation
Make UKZN shut down all campuses for an appropriate amount of time should COVID-19 worsen.,pro-mitigation
URGENT! Irish Government Enact Vegan Law! to Stop COVID-19 & Stop Climate Change!,pro-mitigation
"Student Loan Forgiveness for ""Covid-19"" Frontline Workers",pro-mitigation
"Save Donderberg , Sauvons l'espace vert du Donderberg à Laeken , Red Donderberg",unclear
Stop the RHS Bridgewater from further culling of roe deer at their site,unclear
"Postponement of Final examinations for Mithibai College,in regards to Covid-19",unclear
The easing of covid restrictions,anti-mitigation
Bring back Division III National Championships,unclear
Ban face to face teaching at City of Glasgow College with immediate effect - COVID-19,pro-mitigation
PETITION AGAINST PROPOSED CORONATION DRIVE WASTE PROCESSING PLANT,unclear
Stop violence against doctors,pro-mitigation
Protect our nurses!,pro-mitigation
End Hate Crimes Against Asian Americans,unclear
COVID-19: Demand immediate release for those incarcerated in Knox County jail,anti-mitigation
Provide easily accessible and free COVID-19 testing across India.,pro-mitigation
Lift Ban on Riding Road Registered Motorcycles During covid 19,pro-mitigation
Get Classes Moved To Online Due to Corona Virus (Covid-19),pro-mitigation
"Close, Florida, close the beaches, Gov. DeSantis!",pro-mitigation
Mary Seacole is now recognised as a  COVID-19  hospital in England,unclear
Mandate PPE for Dental Hygienists NOW!,pro-mitigation
change school district grades from numerical to pass fail for 4th quarter due to covid,unclear
Urge “shelter in place” order for the state of Utah,pro-mitigation
UW 2020 Commencement,unclear
Please help saving the life of my Father Kidnapped Dr Abbadi in Jordan,unclear
Lockdown Pakistan to Prevent COVID-19 Transmission,pro-mitigation
"Every penny counts- In case of death due to Covid, beneficiary to be granted tax exemption",anti-mitigation
Nurses must be exempted from paying tax during covid-19.,pro-mitigation
Extend COVID-19 Emergency Benefits / Prolonger les prestations d'urgence pour la COVID-19,pro-mitigation
COVID-19: Allow free hospital parking for BC's health care workers.,pro-mitigation
"OPEN LETTER TO THE LEADERS OF THE COUNTRIES AND NATIONS OF THE EARTH

FOR THE POOR",unclear
Mandate the collection of disaggregated health data for Canadians during COVID-19,pro-mitigation
Hazard Pay For The Front Line,pro-mitigation
Play Fair - Let Live Music Live,unclear
"Name MUN's New Core Science Building the ""J. Fitzgerald Building""",unclear
COVID - Suspend School Until We Have Clarity,pro-mitigation
COVID-19 Requesting early release for Georgia work release program residents,unclear
University students should not have to pay last instalment of rent if they move out,unclear
Early release for Hector Jimenez via medical parole or clemency due to COVID-19,unclear
Hold the Chinese government accountable for COVID-19,anti-mitigation
A Campaign to Protect Dover Forest!,unclear
LOVE IS NOT TOURISM,unclear
Petition AGAINST Del Mar College School of Nursing Holding Back Graduates Due to COVID-19,anti-mitigation
Restrict Incoming Maui Flights to Slow Spread of COVID-19,pro-mitigation
Cancelling of HITS Events during COVID pandemic,pro-mitigation
Allow 2020 Spring Sports to Continue Through the Summer,anti-mitigation
Approve direct access to COVID-19 rapid screening tests,pro-mitigation
Justice for Benny Davis,unclear
URGENT CALL - Release Julian Assange from Belmarsh NOW!,unclear
Allow not COVID related evictions,anti-mitigation
Release my mother due to COVID-19,unclear
Help animal shelters during COVID-19,pro-mitigation
Make the CDC report the number of coronavirus cases per state,pro-mitigation
Student loan forgiveness for those working the front-lines of the COVID-19 pandemic,pro-mitigation
"Lockdown India Completely Until 31st Mar (At least) - (Buses, Flights, Trains, Shops etc)",pro-mitigation
Test Kits for CoVid-19 in Every City in the USA,pro-mitigation
Cancel rental payment for international student of Australia during COVID-19 crisis,pro-mitigation
Save 220k Massage Therapist's Careers  Covid-19 Licensed Health Care Economic Hardship,pro-mitigation
Continue Paying Northeastern Dining Hall Employees for the Next 30 Days,unclear
KKTC GİRNE AMERİKAN ÜNİVERSİTESİ ÖDEMELERİNE İNDİRİM İSTİYORUZ,unclear
Cancel Rent Payments in Finland for International Students during Covid-19.,unclear
"Disinfect the streets, lobbies, transportation and stores everyday",pro-mitigation
Keep Yehaa Bob at Port Orleans,unclear
We want the Human rights commission to lay charges of racism against Russell Kruger.,unclear
Community Demands for Lesley University's Covid-19 Response,pro-mitigation
I want people who are working during the Covid-19 pandemic to receive hazard pay.,pro-mitigation
Keep our children safe and close the schools,pro-mitigation
Expedite NBCOT Exam Process,unclear
Petition for Online Teaching in QUB under COVID-19 Threat,pro-mitigation
Claps don't pay the bills - give all NHS workers a 15% pay rise #NHSPay15,pro-mitigation
Revoke retroactive fees,unclear
#cancelboardexams,unclear
UBC Partial Tuition Refund,unclear
Modify SIT's Exam and Grading Policy due to COVID-19,pro-mitigation
South Dakota State University pass or fail students -COVID-19,unclear
Tim Walz: Support to-go wine & beer sales for the restaurant industry during COID-19,pro-mitigation
Demanding permanent employment for contract workers in M'sia Gov! #WeAreFrontliners,unclear
Rescind the Acceptance of racist Drew Dollar into LSU,unclear
Postpone All Entrances and ExamsDuring Current Situation of Covid-19.,pro-mitigation
We Texans demand that Ted Cruz resign.,unclear
LET US IN! Adjust The Nursing Home Visitation Policy due to Covid 19,anti-mitigation
Cancellation of STPM Semester 2 examination 2020,unclear
Immediate & Unconditional Release of Jawar Mohammed & All Oromo Political Prisoners,unclear
Close non essential warehouses Covid-19,pro-mitigation
Revise the Academic Calendar & Suspend the Online Classes throughout COVID-19 crisis,anti-mitigation
ASHA dues should be WAIVED for 2020!,unclear
COVID-19  Dance Studio Industry Economic Hardship,unclear
Cancellation of Lebanese Official Exams for 2020/إلغاء الإمتحانات الرسمية اللبنانية ل-٢٠٢٠,pro-mitigation
Hazard pay for essential employees working with the public during the covid-19 pandemic.,pro-mitigation
Calling for Disability- Inclusive Response to Covid-19 Pandemic in the Philippines,pro-mitigation
Open the 2020-2021 School Year Traditionally in Shasta County,unclear
Save the Enhanced Nursery School Operating Grant!! Say NO to Proposed Amendment to Regs!,unclear
"20 per studio classroom, rather than 20 per premises - if deemed safe.",unclear
VicRoads refund rego and TAC charged during covid restrictions.,pro-mitigation
"Grant emergency Bond due to the global pandemic of COVID-19, for Qamar Williams / Q money",unclear
Create a Covid-19 relief package for informal waste pickers of Delhi,pro-mitigation
Language Education in the Time of COVID-19,unclear
Take proactive action to mitigate COVID19 in Ethiopia,pro-mitigation
Stellenbosch University to Implement Online Examinations,pro-mitigation
No Schools Till Corona Ends...,unclear
Recreation Boating During Stay At Home,unclear
Chancellor Carranza - Don't Take Counselors Away From Students in the South Bronx,unclear
Ensure Education. STOP HIKE in School Fee for 2020-2021 #COVID-19,pro-mitigation
Cancel 10th Gujarat Board Exams,unclear
Cancellation of all University assignments and exams due to instability caused by COVID-19,pro-mitigation
NEU- CLOSE CAMPUS AND START ONLINE TEACHING,unclear
NOW reinstate all facial treatments from behind and to the side of the face.,unclear
UWC must call off university!,unclear
Cancel Okanagan college  Classes due to COVID-19,pro-mitigation
Request To Have the Option to Make WFU Spring 2020 Classes Pass/Fail Due to COVID-19,unclear
Stop tourism to the Isle of Wight during the Covid 19 outbreak,pro-mitigation
No profit on Covid-19!,unclear
Cancel rent payments for international students during Covid 19,pro-mitigation
Tuition and Fee Refund for Campus Services Not Provided Due to COVID-19,pro-mitigation
SE PODRÍAN HABER EVITADO LAS MUERTES POR COVID-19 EN TODO EL MUNDO,unclear
Support More Testing for Covid,pro-mitigation
Make Regis University close its doors now.,unclear
Post Natal Massage Service as Essential Services,unclear
Cancellation of RTU Final Semester Examination,unclear
HPU MUST Allow Housing/Dining Refunds if COVID-19 Impacts Fall 2020 Semester,pro-mitigation
UK Legalisation & Taxation of Recreational Cannabis to help fund COVID-19 aftermath,pro-mitigation
COVID-19 - Free streaming services for quarantine,pro-mitigation
Help stop the deportation of the Ferreira family during a global pandemic.,pro-mitigation
Make masks mandatory for public settings in the Region of Waterloo.,pro-mitigation
Pay Health Care Students On Placement,unclear
Support private nurseries through Covid-19,pro-mitigation
cancel school due to the water boil order and COVID 19,unclear
A Twin Crisis- Gentrification & Covid Destroying Black Business In Harlem,unclear
Extend the Winter Break at UFV,unclear
TAX RELIEF FOR NEW JERSEY RESTAURANTS & SMALL BUSINESSES FROM SHUTDOWN DURING COVID-19,pro-mitigation
Orange County Schools Must Follow CA State Guidelines For Re-Opening,anti-mitigation
Cuomo and de Blasio Must Close all school buildings in NYC NOW!,unclear
Why final year exams shoudn't be Conducted #promote final year students,unclear
Offer Unconditional Citizenship to ALL non-British NHS Workers,unclear
We Must Ensure The Safety of Our Children,pro-mitigation
Riconosciamo alla Scuola il suo ruolo di tutela della Salute biopsicosociale,unclear
Yarra Valley should be classified as rural for Covid-19 restrictions purposes,unclear
Suspend Rent & Mortgage in Connecticut during COVID-19,pro-mitigation
NYC TRANSIT WORKERS DESERVE HAZARD PAY,unclear
Justice For Dr. Susan Moore,unclear
Covid-19 Safety for Dental Practitioners and Patients in Colorado,pro-mitigation
Call for Peter Weir to resign,unclear
Temporarily Force Close Restaurants in the U​.​S to stop the spread of Covid-19,pro-mitigation
Covid-19 Pandemic Unemployment Payment for Cross Border Workers,pro-mitigation
Seek Justice for Brutal Massacre of 5 Afro-Colombian Teenagers,unclear
Ban the Use of Tear Gas on Peaceful Civilians & Protestors,unclear
COVID-19 : Guarantee people's heat and power,pro-mitigation
Create a COVID-19 testing spot on South Campus,pro-mitigation
Protest Against Covid Return Travellers at Tamworth NSW Australia,unclear
Close Humber College (COVID-19 / Coronavirus),pro-mitigation
"The IRS Is Holding Thousands Of Falsely Flagged Tax Refunds, During Covid-19 Crisis!!!",anti-mitigation
Henry County Shelter in Place for Covid-19,pro-mitigation
Schools to charge only 50% and No fees for lockdown period. Also No Vaccine No School.,pro-mitigation
Boots to send all non essential staff home amid Covid-19 safety measures,pro-mitigation
Reduce UCI Student Fees During Remote Instruction,pro-mitigation
Government packages and assistance for Music Fraternity in COVID 19 PANDEMIC.,pro-mitigation
Relief Funds for Freelance + Contracted Workers,pro-mitigation
Small Business COVID-19 Support,pro-mitigation
UW Admin create a one-credit class so international students can stay in the US,unclear
Distinction des cas de Covid-19 entre la Gaspésie et les Iles-de-la-Madeleine,unclear
Aprite le palestre di arrampicata,unclear
Stop TFL from removing free travel for under-18s,unclear
Reduce Canadian Deaths from Covid-19 and Support Canada with Social Distancing and Testing,pro-mitigation
誰ひとり取り残さない。新型コロナウイルスの影響に伴う収入減少に対し、この国に生きる全ての人に所得補償を!,unclear
Partial refund for 2nd semester fees from Kuwait private schools due to COVID19 closure,pro-mitigation
Extend Winter Break for Brock Students,unclear
Postpone Class of 2020 CBE Graduation Ceremonies,pro-mitigation
Tell Doug Ford Critical care is not Elective care. Help our daughter to  get her surgery!,unclear
COVID-19 outbreak in Clinton County Detention Center,anti-mitigation
DEMAND NCSU to release a statement and action plan to support their international students,unclear
Resignation of Tedros Adhanom Ghebreyesus - The WHO Director General,unclear
Justin Trudeau: Do Not Test COVID immunizations on Indigenous Canadians!,anti-mitigation
Set up makeshift crematoriums and designate more burial grounds for COVID victims’ dignity,pro-mitigation
Get Waled Home,unclear
"Allow students to alter, delay or annul their tenancy agreements because of COVID-19",pro-mitigation
Release Grace from Groves HS from Jail,unclear
We Want Justice! We Want Peace!,unclear
"Defy COVID 19: save zoo, stables, farm & stray animal war-refugees in Yemen",anti-mitigation
Close school campuses in Fremont Unified School District to avoid spreading COVID-19,pro-mitigation
Re-classify Fitness Centers as an Essential Business,unclear
"After serving 25 years , I can die from Covid-19, because I am still incarcerated.",pro-mitigation
Request To Make GMU Fall 2020 Classes Pass/Fail An Option Due to COVID-19,pro-mitigation
CT Students Go Back To School Without Masks or Social Distancing,anti-mitigation
Allow individual water sport participants in South Africa to access the ocean.,unclear
Cut Carbon Emissions by 50% in 2030 and Reach ZERO emissions by 2050!,unclear
Demand CA EDD accountability for Unpaid unemployment claims due to Covid 19 measures.,pro-mitigation
Suspend in-person instruction at UC Merced to prevent exposure to COVID-19,pro-mitigation
نطالب وزارة الاتصالات اللبنانية بزيادة سعة الإنترنت وسرعته وتخفيض الأسعار خلال أزمة كورونا,unclear
CLOSE DOWN ALL EDUCATIONAL INSTITUTIONS!,pro-mitigation
Request CWU To Make Online Classes/Finals Available Due to COVID-19 Deaths In WA State,pro-mitigation
Ensure health workers have enough PPE during Covid-19 to remain safe,pro-mitigation
ECFMG Certification during COVID 19 Crisis,pro-mitigation
COVID-19 Test Kits,pro-mitigation
Help for Special Needs Family during COVID,pro-mitigation
Demand Louisiana Gov. Edwards take action to reduce the prison population during Covid-19,pro-mitigation
Get American crew members home!,unclear
Demand SF City Gov’t Responds To Homeless and Crime CRISIS,pro-mitigation
Stop ICE from sending international students out of the country!,unclear
Restore Youth Hockey,unclear
The Ghanaian-Canadian Association of Ontario needs your support!,unclear
Shut down FISD schools to prevent COVID-19 spreading,pro-mitigation
Hazard pay for X-ray tech at St Mary’s Hospital,unclear
Declarar pandemia por parte de la OMS | Make official WHO pandemic status - Covid-19,unclear
UVM students demand partial tuition and housing reimbursement,unclear
Kids First! Let NM kids practice outdoors sports!,unclear
